year,level,subject,paper,question,text,coleman_liau,flesch_kincaid,gunning_fog,total_tokens,positive_tokens,negative_tokens,neutral_tokens,compound_sentiment_score,intent,intent_certainty,named_entities
1921,HIGHER GRADE,GEOGRAPHY,1,,Describe glaciation features in the Lochnagar map. ,10.75,7.2,8.51,5,0,0,5,0.0,reason,0.6943032741546631,"('Lochnagar', 'LOCATION', 1)"
1921,HIGHER GRADE,GEOGRAPHY,1,,"Plan a walk from Lochcallater Lodge over Lochnagar, estimating time.",14.3,8.4,12.0,7,0,0,7,0.0,reason,0.8682200908660889,"('Lochcallater', 'ORGANIZATION', 1)('Lodge', 'ORGANIZATION', 1)('Lochnagar', 'LOCATION', 1)"
1921,HIGHER GRADE,GEOGRAPHY,1,,Does Loch Muick’s appearance support lakes’ short-lived nature? Explain.,18.99,6.8,8.04,8,1,0,7,0.4019,other,0.8379372358322144,"('Loch Muick', 'PERSON', 1)"
1921,HIGHER GRADE,GEOGRAPHY,1,,Assess Lochnagar’s population density from the map.,15.67,9.6,8.51,5,0,0,5,0.0,describe,0.7552724480628967,"('Lochnagar', 'LOCATION', 1)"
1921,HIGHER GRADE,GEOGRAPHY,1,,"Compare maritime, continental, and Mediterranean climates. Where are they found? Name characteristic crops.",11.14,8.5,10.95,9,0,0,9,0.0,discuss,0.9962743520736694,"('Mediterranean', 'LOCATION', 1)"
1921,HIGHER GRADE,GEOGRAPHY,1,,Define Scottish coalfield limits. Name four fields and their coal uses.,12.52,0.7,2.2,9,0,0,9,0.0,discuss,0.4068984985351562,"('Scottish', 'NATIONALITY', 1)('four', 'NUMBER', 1)"
1921,HIGHER GRADE,GEOGRAPHY,1,,How do sailors find latitude/longitude? Calculate ship position if sun’s altitude is,13.14,10.4,15.73,8,0,0,8,0.0,describe,0.8895978331565857,
1921,HIGHER GRADE,GEOGRAPHY,1,,5° at 2 p.m. GMT on Dec.,17.34,-2.5,1.4,5,0,0,5,0.0,describe,0.4224709570407867,"('5', 'NUMBER', 1)('2', 'TIME', 1)('p.m.', 'TIME', 1)('GMT', 'TIME', 1)('on', 'TIME', 1)('Dec.', 'DATE', 1)"
1921,HIGHER GRADE,GEOGRAPHY,1,,,0.0,-15.7,0.0,0,0,0,0,0.0,compare,0.3079292476177215,
1921,HIGHER GRADE,GEOGRAPHY,1,,"List major raw cotton areas. Explain production advantages under climate/soil, labor, market access.",11.25,8.2,8.75,12,1,0,11,0.25,discuss,0.5048788189888,
1921,HIGHER GRADE,GEOGRAPHY,1,,Describe limestone area scenery and human impact ,15.26,6.0,2.8,6,0,0,6,0.0,discuss,0.5635738968849182,
1921,HIGHER GRADE,GEOGRAPHY,1,,"g., Pennines, North/South Downs, Karst).",11.92,2.9,2.0,5,0,0,5,0.0,discuss,0.5265621542930603,"('Pennines', 'LOCATION', 1)('North', 'LOCATION', 1)('South', 'LOCATION', 1)('Downs', 'LOCATION', 1)"
1921,HIGHER GRADE,GEOGRAPHY,1,,"Describe two: Borneo, South Island (NZ), Cuba, Madagascar ",11.93,6.4,8.2,8,0,0,8,0.0,discuss,0.7975936532020569,"('two', 'NUMBER', 1)('Borneo', 'LOCATION', 1)('South', 'LOCATION', 1)('Island', 'LOCATION', 1)('NZ', 'LOCATION', 1)('Cuba', 'COUNTRY', 1)('Madagascar', 'COUNTRY', 1)"
1921,HIGHER GRADE,GEOGRAPHY,1,,"eople, products).",7.1,-3.1,0.8,2,0,0,2,0.0,discuss,0.4154890179634094,
1921,HIGHER GRADE,GEOGRAPHY,1,,"Explain Yokohama, Shanghai, Baku, Trebizond, Basra, Smyrna’s importance and positions.",16.76,10.7,12.0,9,1,0,8,0.3612,describe,0.4301798045635223,"('Yokohama', 'LOCATION', 1)('Shanghai', 'CITY', 1)('Baku', 'CITY', 1)('Trebizond', 'LOCATION', 1)('Basra', 'LOCATION', 1)('Smyrna', 'CITY', 1)"
1921,HIGHER GRADE,GEOGRAPHY,1,,"Sketch Red Sea, Sinai, Gulf of Aden. Mark Port Said, Suakin, Mecca, Aden. Label Hedjaz, Yemen, British Somaliland, Perim. Draw Tropic of Cancer.",13.54,4.4,4.06,21,0,1,20,-0.6597,argue,0.3509110510349273,"('Red', 'LOCATION', 1)('Sea', 'LOCATION', 1)('Gulf', 'LOCATION', 1)('of', 'LOCATION', 1)('Aden', 'CITY', 2)('Mark Port Said', 'PERSON', 1)('Suakin', 'LOCATION', 1)('Mecca', 'CITY', 1)('Yemen', 'COUNTRY', 1)('British', 'NATIONALITY', 1)('Somaliland', 'LOCATION', 1)('Perim', 'LOCATION', 1)('Cancer', 'CAUSE_OF_DEATH', 1)"
1921,HIGHER GRADE,GEOGRAPHY,1,,Why is Asia’s population density lower than Europe’s despite larger numbers? Compare dense/sparse Asian regions.,16.64,8.6,5.67,12,1,1,10,-0.1094,discuss,0.9394036531448364,"('Asia', 'CITY', 1)('Europe', 'LOCATION', 1)('Asian', 'NATIONALITY', 1)"
1921,HIGHER GRADE,GEOGRAPHY,1,,Trace Canada/Australia’s exploration/settlement. Explain export changes.,16.94,17.4,14.53,6,0,0,6,0.0,describe,0.5933569073677063,"('Canada', 'COUNTRY', 1)('Australia', 'COUNTRY', 1)"
