year,level,subject,paper,question,text,coleman_liau,flesch_kincaid,gunning_fog,total_tokens,positive_tokens,negative_tokens,neutral_tokens,compound_sentiment_score,intent,intent_certainty,named_entities
1948,Higher Grade,ENGLISH,3,,"What sort of person did Shakespeare mean any one of the following to be: Falstaff, Richard II, Bassanio, Polonius, Banquo, Edmund, Coriolanus? Is the man you choose good or bad, wise or foolish, likable or unlikable? ",9.35,6.8,8.31,22,2,2,18,0.0254,compare,0.7724565267562866,"('Shakespeare', 'PERSON', 1)('one', 'NUMBER', 1)('Richard II', 'PERSON', 1)('Bassanio', 'PERSON', 1)('Polonius', 'MISC', 1)('Banquo', 'PERSON', 1)('Edmund', 'PERSON', 1)"
1948,Higher Grade,ENGLISH,3,,"If in an amateur performance of one of the following plays—Julius Caesar, As You Like It, Twelfth Night, The Tempest—you were given your choice of a character, whom would you choose and why?",9.88,13.8,18.05,15,1,0,14,0.3612,explain,0.6058107614517212,"('one', 'NUMBER', 1)('Julius Caesar', 'PERSON', 1)('Twelfth', 'ORDINAL', 1)('Night', 'TIME', 1)"
1948,Higher Grade,ENGLISH,3,,"What supernatural elements does Shakespeare introduce into any one of the following plays: A Midsummer Night’s Dream, Julius Caesar, Hamlet, Macbeth, The Tempest? Show to what extent the supernatural is apparent to the human persons in the play.",13.23,11.9,12.86,22,3,0,19,0.31,describe,0.5033861994743347,"('Shakespeare', 'PERSON', 1)('one', 'NUMBER', 1)('Night', 'TIME', 1)('Julius Caesar', 'PERSON', 1)('Macbeth', 'PERSON', 1)"
1948,Higher Grade,ENGLISH,3,,Choose two of the Canterbury Pilgrims and write in prose an account of them based on Chaucer's portraits. ,9.79,6.8,9.42,10,0,0,10,0.0,reason,0.9614058136940002,"('two', 'NUMBER', 1)"
1948,Higher Grade,ENGLISH,3,,Illustrate from any one of The Canterbury Tales or from The Prologue Chaucer's sly humour.,10.72,8.0,11.33,8,1,0,7,0.4767,discuss,0.7359251976013184,"('one', 'NUMBER', 1)"
1948,Higher Grade,ENGLISH,3,,What was the occasion of the writing of Lycidas by Milton? Show how the poet clothes the real incident in pastoral imagery.,9.21,6.4,11.67,11,0,0,11,0.0,describe,0.7474592924118042,"('Lycidas', 'LOCATION', 1)('Milton', 'PERSON', 1)('poet', 'TITLE', 1)"
1948,Higher Grade,ENGLISH,3,,Write a character-sketch and history of Bridget Elia as you have come to know her in The Essays of Elia. ,8.58,8.7,10.0,9,0,0,9,0.0,reason,0.9831351041793824,"('Bridget Elia', 'PERSON', 1)('Elia', 'PERSON', 1)"
1948,Higher Grade,ENGLISH,3,,Give an account of the oddities of behaviour and opinion of Sir Roger de Coverley.,8.05,8.0,11.33,9,0,0,9,0.0,reason,0.9688243269920348,"('Roger de Coverley', 'PERSON', 1)"
1948,Higher Grade,ENGLISH,3,,Choose any one of Sir Walter Scott’s novels and describe any scene or incident in it that has particularly appealed to you.,9.75,9.5,12.44,11,1,0,10,0.3182,reason,0.4504193961620331,"('one', 'NUMBER', 1)('Walter Scott', 'PERSON', 1)"
1948,Higher Grade,ENGLISH,3,,"Explain as intelligibly as possible the story or the situation in any one of the following poems: Alexander’s Feast, The Rape of the Lock, The Bard, The Cotter’s Saturday Night, Resolution and Independence, An Ode to the West Wind, The Eve of St. Agnes, Horatius, The Forsaken Merman, The Revenge.",9.93,11.9,14.0,28,1,2,25,-0.3071666666666666,describe,0.3949535489082336,"('one', 'NUMBER', 1)('Alexander', 'PERSON', 1)('Cotter', 'PERSON', 1)('Saturday', 'DATE', 1)('Night', 'TIME', 1)('West', 'LOCATION', 1)('Wind', 'LOCATION', 1)('St.', 'LOCATION', 1)('Agnes', 'LOCATION', 1)('Forsaken Merman', 'PERSON', 1)"
1948,Higher Grade,ENGLISH,3,,Do you know any book ,0.25,-1.9,2.0,2,0,0,2,0.0,describe,0.6898732781410217,
1948,Higher Grade,ENGLISH,3,,ovel or not novel) which describes a district with which you are familiar? Is it successful in catching the character and spirit of the place?,8.51,7.0,9.8,10,3,0,7,0.3606666666666666,other,0.7656599283218384,
1948,Higher Grade,ENGLISH,3,,"Say frankly whether you like Wordsworth’s Poetry or not, and give your reasons.",10.35,3.6,5.2,8,1,0,7,0.3612,reason,0.4975542724132538,"('Wordsworth', 'PERSON', 1)('Poetry', 'MISC', 1)"
1948,Higher Grade,ENGLISH,3,,"Choose any one of the following: Lemuel Gulliver, Sam Weller, Elizabeth Bennet, Jos Sedley, Maggie Tulliver, Count Fosco, John Loveday, Dr. Jekyll, Salvation Yeo, Dr. Watson—and describe the chosen one’s appearance, character, and role in the book in which he or she figures.",12.79,8.9,10.37,31,0,0,31,0.0,discuss,0.4298682510852813,"('one', 'NUMBER', 2)('Lemuel Gulliver', 'PERSON', 1)('Sam Weller', 'PERSON', 1)('Elizabeth Bennet', 'PERSON', 1)('Jos Sedley', 'PERSON', 1)('Maggie Tulliver', 'PERSON', 1)('Count Fosco', 'PERSON', 1)('John Loveday', 'PERSON', 1)('Jekyll', 'PERSON', 1)('Yeo', 'PERSON', 1)('Watson', 'PERSON', 1)"
1948,Higher Grade,ENGLISH,3,,Have you ever read a second ,0.3,-1.5,2.4,3,0,0,3,0.0,describe,0.9283727407455444,"('a', 'DURATION', 1)('second', 'DURATION', 1)"
1948,Higher Grade,ENGLISH,3,,"hird, fourth, etc.) book or poem by an author because you had greatly enjoyed the first of his that you read? What were the books or poems? What qualities in them attracted you?",4.89,1.8,5.74,14,2,0,12,0.46605,compare,0.9428802132606506,"('fourth', 'ORDINAL', 1)('author', 'TITLE', 1)('first', 'ORDINAL', 1)"
